time,CPU_TOTAL_USAGE,MEM_TOTAL_USAGE,POD_COUNT,expected_CPU_AVG_USAGE,expected_MEM_AVG_USAGE
2024-02-26 14:25:24,49.71,146.68,3,60.0,70.0
2024-02-26 14:26:24,41.97,146.69,3,60.0,70.0
2024-02-26 14:27:24,35.35,133.8,3,60.0,70.0
2024-02-26 14:28:24,25.02,106.2,2,60.0,70.0
2024-02-26 14:29:24,17.91,96.96,2,60.0,70.0
2024-02-26 14:30:24,9.46,96.96,2,60.0,70.0
2024-02-26 14:31:24,1.53,82.53,2,60.0,70.0
2024-02-26 14:32:24,8.91,82.53,2,60.0,70.0
2024-02-26 14:33:24,17.77,78.34,2,60.0,70.0
2024-02-26 14:34:24,24.81,78.34,2,60.0,70.0
2024-02-26 14:35:24,34.79,88.43,2,60.0,70.0
2024-02-26 14:36:24,41.56,91.88,2,60.0,70.0
2024-02-26 14:37:24,49.58,108.24,2,60.0,70.0
2024-02-26 14:38:24,57.14,108.29,2,60.0,70.0
2024-02-26 14:39:24,65.05,126.52,2,60.0,70.0
2024-02-26 14:40:24,71.86,126.54,2,60.0,70.0
2024-02-26 14:41:24,82.29,139.27,2,60.0,70.0
2024-02-26 14:42:24,87.03,139.32,2,60.0,70.0
2024-02-26 14:43:24,91.85,139.36,2,60.0,70.0
2024-02-26 14:44:24,97.19,139.38,2,60.0,70.0
2024-02-26 14:45:24,107.57,139.38,2,60.0,70.0
2024-02-26 14:46:24,117.42,139.84,2,60.0,70.0
2024-02-26 14:47:24,119.66,139.84,2,60.0,70.0
2024-02-26 14:48:24,127.24,139.84,2,60.0,70.0
2024-02-26 14:49:24,132.24,139.84,2,60.0,70.0
