time,value,metric
2024-02-04 21:31:21,0.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:32:21,2.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:33:21,4.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:34:21,6.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:35:21,8.067,{'instance': '10.0.76.98:8080'}
2024-02-04 21:36:21,10.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:37:21,11.933,{'instance': '10.0.76.98:8080'}
2024-02-04 21:38:21,14.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:39:21,16.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:40:21,18.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:41:21,20.2,{'instance': '10.0.76.98:8080'}
2024-02-04 21:42:21,22.0,{'instance': '10.0.76.98:8080'}
2024-02-04 21:43:21,24.067,{'instance': '10.0.76.98:8080'}
2024-02-04 21:44:21,25.933,{'instance': '10.0.76.98:8080'}
2024-02-04 21:45:21,28.2,{'instance': '10.0.76.98:8080'}
2024-02-04 21:46:21,29.8,{'instance': '10.0.76.98:8080'}
2024-02-04 21:47:21,31.733,{'instance': '10.0.76.98:8080'}
2024-02-04 21:48:21,33.8,{'instance': '10.0.76.98:8080'}
2024-02-04 21:49:21,36.333,{'instance': '10.0.76.98:8080'}
2024-02-04 21:50:21,37.6,{'instance': '10.0.76.98:8080'}
2024-02-04 21:51:21,40.667,{'instance': '10.0.76.98:8080'}
2024-02-04 21:52:21,42.4,{'instance': '10.0.76.98:8080'}
2024-02-04 21:53:21,44.348,{'instance': '10.0.76.98:8080'}
2024-02-04 21:54:21,46.333,{'instance': '10.0.76.98:8080'}
2024-02-04 21:55:21,48.6,{'instance': '10.0.76.98:8080'}
2024-02-04 21:56:21,51.133,{'instance': '10.0.76.98:8080'}
2024-02-04 21:57:21,51.133,{'instance': '10.0.76.98:8080'}
2024-02-04 21:58:21,53.8,{'instance': '10.0.76.98:8080'}
2024-02-04 21:59:21,56.933,{'instance': '10.0.76.98:8080'}
2024-02-04 22:00:21,56.867,{'instance': '10.0.76.98:8080'}
2024-02-04 22:01:21,60.333,{'instance': '10.0.76.98:8080'}
2024-02-04 22:02:21,56.8,{'instance': '10.0.76.98:8080'}
2024-02-04 22:03:21,56.933,{'instance': '10.0.76.98:8080'}
2024-02-04 22:04:21,53.933,{'instance': '10.0.76.98:8080'}
2024-02-04 22:05:21,51.067,{'instance': '10.0.76.98:8080'}
2024-02-04 22:06:21,51.067,{'instance': '10.0.76.98:8080'}
2024-02-04 22:07:21,48.6,{'instance': '10.0.76.98:8080'}
2024-02-04 22:08:21,46.4,{'instance': '10.0.76.98:8080'}
2024-02-04 22:09:21,44.333,{'instance': '10.0.76.98:8080'}
2024-02-04 22:10:21,42.333,{'instance': '10.0.76.98:8080'}
2024-02-04 22:11:21,40.667,{'instance': '10.0.76.98:8080'}
2024-02-04 22:12:21,37.667,{'instance': '10.0.76.98:8080'}
2024-02-04 22:13:21,36.267,{'instance': '10.0.76.98:8080'}
2024-02-04 22:14:21,33.8,{'instance': '10.0.76.98:8080'}
2024-02-04 22:15:21,31.733,{'instance': '10.0.76.98:8080'}
2024-02-04 22:16:21,29.733,{'instance': '10.0.76.98:8080'}
2024-02-04 22:17:21,28.133,{'instance': '10.0.76.98:8080'}
2024-02-04 22:18:21,25.933,{'instance': '10.0.76.98:8080'}
2024-02-04 22:19:21,24.133,{'instance': '10.0.76.98:8080'}
2024-02-04 22:20:21,21.933,{'instance': '10.0.76.98:8080'}
2024-02-04 22:21:21,20.2,{'instance': '10.0.76.98:8080'}
2024-02-04 22:22:21,18.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:23:21,16.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:24:21,14.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:25:21,12.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:26:21,10.067,{'instance': '10.0.76.98:8080'}
2024-02-04 22:27:21,8.067,{'instance': '10.0.76.98:8080'}
2024-02-04 22:28:21,6.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:29:21,4.0,{'instance': '10.0.76.98:8080'}
2024-02-04 22:30:21,2.067,{'instance': '10.0.76.98:8080'}
2024-02-04 22:31:21,0.0,{'instance': '10.0.76.98:8080'}
